Plot Identifier,Plant Common Name,Plant Order,Plant Family,Plant Genus,Plant Species,Insect Common Name,Insect Order,Insect Family,Insect Genus,Insect Species,Notes,iNat Link,Second iNat link
LK-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Umbrella Paper Wasps,Hymenoptera,Vespidae,Polistes,,,https://www.inaturalist.org/observations/283008586,
LK-05,Painted Leaf ,Malpighiales,Euphorbiaceae,Euphorbia,cyathophora,Umbrella Paper Wasps,Hymenoptera,Vespidae,Polistes,,,https://www.inaturalist.org/observations/283008586,
LK-05,Knotroot Bristlegrass,Poales,Poaceae,Setaria,parviflora,Yellow-legged Mud-dauber Wasp,Hymenoptera,Sphecidae,Sceliphron,caementarium,,https://www.inaturalist.org/observations/282490356,
LK-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Yellow-legged Mud-dauber Wasp,Hymenoptera,Sphecidae,Sceliphron,caementarium,,https://www.inaturalist.org/observations/282490356,
LK-05,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Yellow-legged Mud-dauber Wasp,Hymenoptera,Sphecidae,Sceliphron,caementarium,,https://www.inaturalist.org/observations/282490356,
LK-05,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Horse Paper Wasp,Hymenoptera,Vespidae,Polistes,major,,https://www.inaturalist.org/observations/282490357,
LK-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,New World Banded Thynnid Wasps,Hymenoptera,Thynnidae,Myzinum,,,https://www.inaturalist.org/observations/283008583,
LK-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Ammophila pictipennis,Hymenoptera,Sphecidae,Ammophila,pictipennis,,https://www.inaturalist.org/observations/283008584,
LK-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Horse Paper Wasp,Hymenoptera,Vespidae,Polistes,major,,https://www.inaturalist.org/observations/282490357,
VV-05,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,,
VV-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
VV-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,,
VV-05,Turkey Tangle Frogfruit,Lamiales,Verbenaceae,Phyla,nodiflora,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
VV-05,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Western Honey Bee,Hymenoptera,Apidae,Apis,mellifera,,,
VV-05,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Fiery Skipper,Lepidoptera,Hesperiidae,Hylephila,phyleus,,,
VV-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Coffee-loving Pyrausta Moth,Lepidoptera,Crambidae,Pyrausta,tyralis,,,
VV-05,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Poey's Furrow Bee ,Hymenoptera,Halictidae,Halictus,poeyi,,,
VV-05,White Beggarticks,Asterales,Rubiaceae,Bidens,alba,Dainty Sulphur,Lepidoptera,Pieridae,Nathalis,iole,,,
VV-05,Common Fanpetals,Malvales,Malvaceae,Sida,ulmifolia,Barred Yellow,Lepidoptera,Pieridae,Eurema,daira,,,
VV-05,Shrubby False Buttonweed,Gentianales,Rubiaceae,Spermacoce,verticillata,Phaon Crescent ,Lepidoptera,Nymphalidae,Phyciodes,phaon,,,
