Taxon.name,URL,Tagged.by,Flower_Genus,Flower_species,Flower_IDer,FLW_ID_Conf,project,id.y,uuid,field_id,datatype,name,name_ci,value,value_ci,updater_id,user_id,taxon_id,taxon.id,taxon.rank,taxon.rank_level,taxon.iconic_taxon_id,taxon.ancestor_ids,taxon.is_active,taxon.min_species_taxon_id,taxon.name,taxon.parent_id,taxon.ancestry,taxon.min_species_ancestry,taxon.extinct,taxon.provisional,taxon.created_at,taxon.taxon_changes_count,taxon.taxon_schemes_count,taxon.observations_count,taxon.photos_locked,taxon.universal_search_rank,taxon.current_synonymous_taxon_ids,taxon.atlas_id,taxon.complete_species_count,taxon.wikipedia_url,taxon.iconic_taxon_name,taxon.preferred_common_name,taxon.default_photo.id,taxon.default_photo.license_code,taxon.default_photo.attribution,taxon.default_photo.url,taxon.default_photo.flags,taxon.default_photo.attribution_name,taxon.default_photo.square_url,taxon.default_photo.medium_url,taxon.default_photo.original_dimensions.height,taxon.default_photo.original_dimensions.width,taxon.flag_counts.resolved,taxon.flag_counts.unresolved,user.id,user.login,user.spam,user.suspended,user.created_at,user.login_autocomplete,user.login_exact,user.name,user.name_autocomplete,user.orcid,user.icon,user.observations_count,user.identifications_count,user.journal_posts_count,user.activity_count,user.species_count,user.annotated_observations_count,user.universal_search_rank,user.roles,user.site_id,user.icon_url,taxon.conservation_status.id,taxon.conservation_status.place_id,taxon.conservation_status.source_id,taxon.conservation_status.user_id,taxon.conservation_status.authority,taxon.conservation_status.status,taxon.conservation_status.status_name,taxon.conservation_status.geoprivacy,taxon.conservation_status.iucn,Park.Name,Plant_ID,Interaction.ID
Phoebis statira,https://www.inaturalist.org/observations/63831504,MaryJo,Hamelia,patens,Toni,100%,Thomas,13239700,80d75d43-86f4-4273-b3b1-4cc225fcce02,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,126305,126305,NA,349183,126305,126305,species,10,47126,,TRUE,126305,Hamelia patens,126306,48460/47126/211194/47125/47124/47363/47693/788062/788055/126306,"48460,47126,211194,47125,47124,47363,47693,788062,788055,126306,126305",FALSE,FALSE,2012-03-24T15:52:25+00:00,0,3,21293,FALSE,21293,NA,NA,NA,http://en.wikipedia.org/wiki/Hamelia_patens,Plantae,Firebush,162979827,cc-by-nc,"(c) Cindy Chrisler, some rights reserved (CC BY-NC), uploaded by Cindy Chrisler",https://inaturalist-open-data.s3.amazonaws.com/photos/162979827/square.jpeg,,Cindy Chrisler,https://inaturalist-open-data.s3.amazonaws.com/photos/162979827/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/162979827/medium.jpeg,1484,2048,0,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Hamelia patens,Hamelia patens | Phoebis statira
Thorybes dorantes,https://www.inaturalist.org/observations/63831505,MaryJo,Richardia,grandiflora,Toni,100%,Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Richardia grandiflora,Richardia grandiflora | Thorybes dorantes
Hylephila phyleus,https://www.inaturalist.org/observations/63831506,MaryJo,Richardia,grandiflora,Toni,100%,Thomas,13239699,ae73105b-abec-43c8-98a3-fd83c02b5693,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,52078,52078,349183,349183,52078,52078,species,10,47126,,TRUE,52078,Richardia grandiflora,52079,48460/47126/211194/47125/47124/47363/47693/788064/788088/52079,"48460,47126,211194,47125,47124,47363,47693,788064,788088,52079,52078",FALSE,FALSE,2009-07-01T11:57:21+00:00,0,2,15536,FALSE,15536,NA,NA,NA,https://en.wikipedia.org/wiki/Richardia_grandiflora,Plantae,largeflower Mexican clover,18320951,NA,"(c) Vanessa Trujillo, all rights reserved, uploaded by Vanessa Trujillo",https://static.inaturalist.org/photos/18320951/square.jpg,,Vanessa Trujillo,https://static.inaturalist.org/photos/18320951/square.jpg,https://static.inaturalist.org/photos/18320951/medium.jpg,800,600,0,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Richardia grandiflora,Richardia grandiflora | Hylephila phyleus
Danaus gilippus,https://www.inaturalist.org/observations/63831507,MaryJo,Bidens,alba,Toni,100%,Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Bidens alba,Bidens alba | Danaus gilippus
Erynnis horatius,https://www.inaturalist.org/observations/63831508,MaryJo,Sphagneticola,trilobata,Toni,100%,Thomas,13239698,d4cdbf91-395b-41c5-ae54-c55ed2887f86,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,246102,246102,NA,349183,246102,246102,species,10,47126,,TRUE,246102,Sphagneticola trilobata,246103,48460/47126/211194/47125/47124/47605/47604/632790/605446/639448/246103,"48460,47126,211194,47125,47124,47605,47604,632790,605446,639448,246103,246102",FALSE,FALSE,2013-04-29T03:00:41+00:00,2,3,48957,FALSE,48957,NA,NA,NA,http://en.wikipedia.org/wiki/Sphagneticola_trilobata,Plantae,Trailing Daisy,43898069,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/43898069/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/43898069/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/43898069/medium.jpeg,1536,2048,1,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Sphagneticola trilobata,Sphagneticola trilobata | Erynnis horatius
Burnsius albezens,https://www.inaturalist.org/observations/63831511,MaryJo,Phyla,nodiflora,Toni,100%,Thomas,13239697,4236a414-0645-43b8-8b31-e8ed6e7bcf88,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,59040,59040,NA,349183,59040,59040,species,10,47126,,TRUE,59040,Phyla nodiflora,59041,48460/47126/211194/47125/47124/48151/49194/936164/59041,"48460,47126,211194,47125,47124,48151,49194,936164,59041,59040",FALSE,FALSE,2010-04-02T06:40:15+00:00,3,7,46236,FALSE,46236,NA,NA,NA,http://en.wikipedia.org/wiki/Phyla_nodiflora,Plantae,turkey tangle frogfruit,260096290,NA,"(c) 陳志豪, all rights reserved, uploaded by 陳志豪",https://static.inaturalist.org/photos/260096290/square.jpeg,,陳志豪,https://static.inaturalist.org/photos/260096290/square.jpeg,https://static.inaturalist.org/photos/260096290/medium.jpeg,1536,2048,2,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Phyla nodiflora,Phyla nodiflora | Burnsius albezens
Hemiargus ceraunus,https://www.inaturalist.org/observations/63831512,MaryJo,Bidens,alba,Toni,100%,Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Bidens alba,Bidens alba | Hemiargus ceraunus
Phyciodes tharos,https://www.inaturalist.org/observations/63831513,MaryJo,Bidens,alba,Toni,100%,Thomas,13239696,26123245-d868-4287-8f02-80d9de54acb2,3126,taxon,Interaction->Visited flower of,Interaction->Visited flower of,1095846,1095846,NA,349183,1095846,1095846,species,10,47126,,TRUE,1095846,Bidens alba,50204,48460/47126/211194/47125/47124/47605/47604/632790/568277/50204,"48460,47126,211194,47125,47124,47605,47604,632790,568277,50204,1095846",FALSE,FALSE,2020-06-05T17:31:55+00:00,4,2,91756,FALSE,91756,NA,30122,NA,https://en.wikipedia.org/wiki/Bidens_alba,Plantae,White beggarticks,86500140,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/86500140/medium.jpeg,1536,2048,3,0,349183,joemdo,FALSE,FALSE,2016-10-12T00:08:13+00:00,joemdo,joemdo,Joe MDO,Joe MDO,NA,https://static.inaturalist.org/attachments/users/icons/349183/thumb.jpg?1662070326,126435,249147,9,375591,11568,63401,126435,,1,https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1662070326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Bidens alba,Bidens alba | Phyciodes tharos
Erynnis horatius,https://www.inaturalist.org/observations/63831516,MaryJo,Bidens,alba,Toni,100%,Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Bidens alba,Bidens alba | Erynnis horatius
Danaus gilippus,https://www.inaturalist.org/observations/63831518,MaryJo,Bidens,alba,Toni,100%,Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quiet Waters,Bidens alba,Bidens alba | Danaus gilippus
